"to.DONOR","to.obsValue","to.obsTime","to.RECIPIENT"
"Madagascar",2000,2010,"Central Emergency Response Fund"
"Tajikistan",2000,2010,"Central Emergency Response Fund"
"Bhutan",1500,2010,"Central Emergency Response Fund"
"Afghanistan",1500,2010,"Central Emergency Response Fund"
"Saint Lucia",1000,2010,"Central Emergency Response Fund"
"Private Donations through UNF",1172884,2010,"Central Emergency Response Fund"
"Jefferies and Company",1e+06,2010,"Central Emergency Response Fund"
"BASF (Germany and South East Asia)",761032,2010,"Central Emergency Response Fund"
"Abu Dhabi National Energy Company «TAQA»",272257,2010,"Central Emergency Response Fund"
"United Nations Foundation Core Fund",250000,2010,"Central Emergency Response Fund"
"Price Waterhouse Coopers",2e+05,2010,"Central Emergency Response Fund"
"Western Union Foundation",150000,2010,"Central Emergency Response Fund"
"World Mission Society Church of God",1e+05,2010,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",89757,2010,"Central Emergency Response Fund"
"ENDESA Spain",55193,2010,"Central Emergency Response Fund"
"Skanska USA Building Inc",50000,2010,"Central Emergency Response Fund"
"Chung Te Buddhist Association of New York, Inc",41771,2010,"Central Emergency Response Fund"
"UN Spouses Bazaar",35113,2010,"Central Emergency Response Fund"
"Latin American Benevolent Foundation",25000,2010,"Central Emergency Response Fund"
"Alexander Bodini Foundation",20000,2010,"Central Emergency Response Fund"
"United Islamic Center",20000,2010,"Central Emergency Response Fund"
"Daystar Christian Centre",20000,2010,"Central Emergency Response Fund"
"GMC Services",20000,2010,"Central Emergency Response Fund"
"Baha'I International Community (National Spiritual Assembly)",20000,2010,"Central Emergency Response Fund"
"Korean and Overseas fans of Kim Hyun Joong",19293,2010,"Central Emergency Response Fund"
"HSBC Bank Middle East Limited",16825,2010,"Central Emergency Response Fund"
"ENDESA Peru",12948,2010,"Central Emergency Response Fund"
"Bilkent Holding AS",10000,2010,"Central Emergency Response Fund"
"United Kingdom",94280000,2011,"Central Emergency Response Fund"
"Sweden",74483671,2011,"Central Emergency Response Fund"
"Norway",67966752,2011,"Central Emergency Response Fund"
"Netherlands",54460000,2011,"Central Emergency Response Fund"
"Canada",41188191,2011,"Central Emergency Response Fund"
"Spain",20091000,2011,"Central Emergency Response Fund"
"Belgium",17716150,2011,"Central Emergency Response Fund"
"Germany",16370000,2011,"Central Emergency Response Fund"
"Australia",13906200,2011,"Central Emergency Response Fund"
"Finland",9411350,2011,"Central Emergency Response Fund"
"Denmark",9182231,2011,"Central Emergency Response Fund"
"Switzerland",6072000,2011,"Central Emergency Response Fund"
"United States of America",6e+06,2011,"Central Emergency Response Fund"
"Luxembourg",5982906,2011,"Central Emergency Response Fund"
"Ireland",5466772,2011,"Central Emergency Response Fund"
"Qatar",4e+06,2011,"Central Emergency Response Fund"
"Republic of Korea",3e+06,2011,"Central Emergency Response Fund"
"Japan",3e+06,2011,"Central Emergency Response Fund"
"Russian Federation",2e+06,2011,"Central Emergency Response Fund"
"New Zealand",1478975,2011,"Central Emergency Response Fund"
"Italy",1308100,2011,"Central Emergency Response Fund"
"France",720950,2011,"Central Emergency Response Fund"
"Kuwait",675000,2011,"Central Emergency Response Fund"
"Brazil",5e+05,2011,"Central Emergency Response Fund"
"Greece",5e+05,2011,"Central Emergency Response Fund"
"China",5e+05,2011,"Central Emergency Response Fund"
"India",5e+05,2011,"Central Emergency Response Fund"
"Czech Republic",434464,2011,"Central Emergency Response Fund"
"Poland",326051,2011,"Central Emergency Response Fund"
"Mexico",3e+05,2011,"Central Emergency Response Fund"
"Austria",289180,2011,"Central Emergency Response Fund"
"Liechtenstein",281532,2011,"Central Emergency Response Fund"
"South Africa",272480,2011,"Central Emergency Response Fund"
"Portugal",267180,2011,"Central Emergency Response Fund"
"Turkey",250000,2011,"Central Emergency Response Fund"
"Indonesia",175000,2011,"Central Emergency Response Fund"
"Monaco",140116,2011,"Central Emergency Response Fund"
"Malaysia",1e+05,2011,"Central Emergency Response Fund"
"Nigeria",99852,2011,"Central Emergency Response Fund"
"Estonia",92302,2011,"Central Emergency Response Fund"
"Slovenia",70990,2011,"Central Emergency Response Fund"
"Romania",70900,2011,"Central Emergency Response Fund"
"Hungary",60000,2011,"Central Emergency Response Fund"
"Argentina",58394,2011,"Central Emergency Response Fund"
"Brunei Darussalam",50000,2011,"Central Emergency Response Fund"
"Singapore",50000,2011,"Central Emergency Response Fund"
"San Marino",50000,2011,"Central Emergency Response Fund"
"United Arab Emirates",50000,2011,"Central Emergency Response Fund"
"Kazakhstan",49964,2011,"Central Emergency Response Fund"
"Chile",30000,2011,"Central Emergency Response Fund"
"Andorra",28128,2011,"Central Emergency Response Fund"
"Cyprus",27600,2011,"Central Emergency Response Fund"
"Israel",20000,2011,"Central Emergency Response Fund"
"Viet Nam",10000,2011,"Central Emergency Response Fund"
"Colombia",10000,2011,"Central Emergency Response Fund"
"Philippines",10000,2011,"Central Emergency Response Fund"
"Azerbaijan",10000,2011,"Central Emergency Response Fund"
"Bangladesh",10000,2011,"Central Emergency Response Fund"
"Myanmar",10000,2011,"Central Emergency Response Fund"
"Algeria",10000,2011,"Central Emergency Response Fund"
"Sri Lanka",10000,2011,"Central Emergency Response Fund"
"Sovereign Military Order of Malta*",5000,2011,"Central Emergency Response Fund"
"Montenegro",5000,2011,"Central Emergency Response Fund"
"Morocco",5000,2011,"Central Emergency Response Fund"
"Ecuador",5000,2011,"Central Emergency Response Fund"
"Armenia",5000,2011,"Central Emergency Response Fund"
"Holy See*",5000,2011,"Central Emergency Response Fund"
"Cöte d'Ivoire",5000,2011,"Central Emergency Response Fund"
"Albania",4000,2011,"Central Emergency Response Fund"
"Lao People's Democratic Republic",3000,2011,"Central Emergency Response Fund"
"Guyana",2191,2011,"Central Emergency Response Fund"
"Serbia",2000,2011,"Central Emergency Response Fund"
"Namibia",2000,2011,"Central Emergency Response Fund"
"Bhutan",1500,2011,"Central Emergency Response Fund"
"Republic of Moldova",1000,2011,"Central Emergency Response Fund"
"Maldives",1000,2011,"Central Emergency Response Fund"
"Afghanistan",500,2011,"Central Emergency Response Fund"
"Saint Lucia",500,2011,"Central Emergency Response Fund"
"Regional Government of Flanders",421080,2011,"Central Emergency Response Fund"
"Private Donations through UNF",145930,2011,"Central Emergency Response Fund"
"Western Union Foundation",1e+05,2011,"Central Emergency Response Fund"
"Kimse Yok Mu Association",10000,2011,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",7850,2011,"Central Emergency Response Fund"
"United Kingdom",95148000,2012,"Central Emergency Response Fund"
"Norway",73945027,2012,"Central Emergency Response Fund"
"Sweden",72132873,2012,"Central Emergency Response Fund"
"Netherlands",52484000,2012,"Central Emergency Response Fund"
"Denmark",23008541,2012,"Central Emergency Response Fund"
"Belgium",19633125,2012,"Central Emergency Response Fund"
"Germany",19402500,2012,"Central Emergency Response Fund"
"Australia",16272000,2012,"Central Emergency Response Fund"
"Finland",8517600,2012,"Central Emergency Response Fund"
"Qatar",3e+06,2012,"Central Emergency Response Fund"
"Switzerland",5951684,2012,"Central Emergency Response Fund"
"Luxembourg",5577689,2012,"Central Emergency Response Fund"
"Ireland",5160772,2012,"Central Emergency Response Fund"
"United States of America",5e+06,2012,"Central Emergency Response Fund"
"Republic of Korea",4e+06,2012,"Central Emergency Response Fund"
"Japan",2700000,2012,"Central Emergency Response Fund"
"Spain",2608200,2012,"Central Emergency Response Fund"
"Russian Federation",2e+06,2012,"Central Emergency Response Fund"
"New Zealand",1679375,2012,"Central Emergency Response Fund"
"Kuwait",1e+06,2012,"Central Emergency Response Fund"
"Brazil",750000,2012,"Central Emergency Response Fund"
"Italy",645900,2012,"Central Emergency Response Fund"
"China",5e+05,2012,"Central Emergency Response Fund"
"India",5e+05,2012,"Central Emergency Response Fund"
"France",392670,2012,"Central Emergency Response Fund"
"Mexico",3e+05,2012,"Central Emergency Response Fund"
"Liechtenstein",272747,2012,"Central Emergency Response Fund"
"Poland",264200,2012,"Central Emergency Response Fund"
"Austria",262080,2012,"Central Emergency Response Fund"
"Portugal",253520,2012,"Central Emergency Response Fund"
"South Africa",243457,2012,"Central Emergency Response Fund"
"Turkey",2e+05,2012,"Central Emergency Response Fund"
"Indonesia",2e+05,2012,"Central Emergency Response Fund"
"Czech Republic",124372,2012,"Central Emergency Response Fund"
"Estonia",100185,2012,"Central Emergency Response Fund"
"Colombia",1e+05,2012,"Central Emergency Response Fund"
"Kazakhstan",99945,2012,"Central Emergency Response Fund"
"Romania",92461,2012,"Central Emergency Response Fund"
"Argentina",68000,2012,"Central Emergency Response Fund"
"Monaco",64715,2012,"Central Emergency Response Fund"
"United Arab Emirates",50000,2012,"Central Emergency Response Fund"
"Albania",50000,2012,"Central Emergency Response Fund"
"Malaysia",50000,2012,"Central Emergency Response Fund"
"Iceland",50000,2012,"Central Emergency Response Fund"
"Singapore",50000,2012,"Central Emergency Response Fund"
"Chile",30000,2012,"Central Emergency Response Fund"
"San Marino",27291,2012,"Central Emergency Response Fund"
"Andorra",26316,2012,"Central Emergency Response Fund"
"Thailand",20000,2012,"Central Emergency Response Fund"
"Israel",20000,2012,"Central Emergency Response Fund"
"Egypt",15000,2012,"Central Emergency Response Fund"
"Ghana",15000,2012,"Central Emergency Response Fund"
"Lithuania",10000,2012,"Central Emergency Response Fund"
"Viet Nam",10000,2012,"Central Emergency Response Fund"
"Sri Lanka",10000,2012,"Central Emergency Response Fund"
"Pakistan",10000,2012,"Central Emergency Response Fund"
"Myanmar",10000,2012,"Central Emergency Response Fund"
"Montenegro",5000,2012,"Central Emergency Response Fund"
"Armenia",5000,2012,"Central Emergency Response Fund"
"Uruguay",5000,2012,"Central Emergency Response Fund"
"Peru",5000,2012,"Central Emergency Response Fund"
"Sovereign Military Order of Malta*",5000,2012,"Central Emergency Response Fund"
"Bhutan",1500,2012,"Central Emergency Response Fund"
"Guyana",2196,2012,"Central Emergency Response Fund"
"Mozambique",2000,2012,"Central Emergency Response Fund"
"Republic of Moldova",2000,2012,"Central Emergency Response Fund"
"Tajikistan",2000,2012,"Central Emergency Response Fund"
"Afghanistan",1000,2012,"Central Emergency Response Fund"
"Regional Government of Flanders",380940,2012,"Central Emergency Response Fund"
"Western Union Foundation",150000,2012,"Central Emergency Response Fund"
"Private Donations through UNF",36586,2012,"Central Emergency Response Fund"
"Baha'I International Community (National Spiritual Assembly)",20000,2012,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",5000,2012,"Central Emergency Response Fund"
"United Kingdom",111230500,2013,"Central Emergency Response Fund"
"Norway",68265453,2013,"Central Emergency Response Fund"
"Netherlands",52124000,2013,"Central Emergency Response Fund"
"Sweden",71687729,2013,"Central Emergency Response Fund"
"Denmark",24065368,2013,"Central Emergency Response Fund"
"Germany",20313000,2013,"Central Emergency Response Fund"
"Australia",18566600,2013,"Central Emergency Response Fund"
"Canada",28809407,2013,"Central Emergency Response Fund"
"Ireland",13009444,2013,"Central Emergency Response Fund"
"Belgium",19053650,2013,"Central Emergency Response Fund"
"Finland",9111900,2013,"Central Emergency Response Fund"
"Luxembourg",5747126,2013,"Central Emergency Response Fund"
"United States of America",4e+06,2013,"Central Emergency Response Fund"
"Republic of Korea",4e+06,2013,"Central Emergency Response Fund"
"Switzerland",7549268,2013,"Central Emergency Response Fund"
"Spain",6617500,2013,"Central Emergency Response Fund"
"Qatar",1500000,2013,"Central Emergency Response Fund"
"New Zealand",1670425,2013,"Central Emergency Response Fund"
"Japan",2987013,2013,"Central Emergency Response Fund"
"Brazil",1e+06,2013,"Central Emergency Response Fund"
"Italy",653350,2013,"Central Emergency Response Fund"
"Kuwait",5e+05,2013,"Central Emergency Response Fund"
"Russian Federation",1e+06,2013,"Central Emergency Response Fund"
"Saudi Arabia",450000,2013,"Central Emergency Response Fund"
"Liechtenstein",272242,2013,"Central Emergency Response Fund"
"Austria",271600,2013,"Central Emergency Response Fund"
"China",5e+05,2013,"Central Emergency Response Fund"
"India",5e+05,2013,"Central Emergency Response Fund"
"Turkey",250000,2013,"Central Emergency Response Fund"
"Indonesia",2e+05,2013,"Central Emergency Response Fund"
"France",393300,2013,"Central Emergency Response Fund"
"Mexico",350000,2013,"Central Emergency Response Fund"
"South Africa",274469,2013,"Central Emergency Response Fund"
"Poland",248162,2013,"Central Emergency Response Fund"
"Estonia",102864,2013,"Central Emergency Response Fund"
"United Arab Emirates",70000,2013,"Central Emergency Response Fund"
"Argentina",70000,2013,"Central Emergency Response Fund"
"Iceland",130000,2013,"Central Emergency Response Fund"
"Colombia",1e+05,2013,"Central Emergency Response Fund"
"Greece",50000,2013,"Central Emergency Response Fund"
"Slovenia",68726,2013,"Central Emergency Response Fund"
"Romania",34348,2013,"Central Emergency Response Fund"
"Portugal",67655,2013,"Central Emergency Response Fund"
"Monaco",64990,2013,"Central Emergency Response Fund"
"Chile",30000,2013,"Central Emergency Response Fund"
"Singapore",50000,2013,"Central Emergency Response Fund"
"Latvia",41027,2013,"Central Emergency Response Fund"
"Thailand",20000,2013,"Central Emergency Response Fund"
"Azerbaijan",39820,2013,"Central Emergency Response Fund"
"Hungary",20098,2013,"Central Emergency Response Fund"
"Peru",25000,2013,"Central Emergency Response Fund"
"Myanmar",10000,2013,"Central Emergency Response Fund"
"Sri Lanka",10000,2013,"Central Emergency Response Fund"
"Andorra",19646,2013,"Central Emergency Response Fund"
"Sovereign Military Order of Malta*",5000,2013,"Central Emergency Response Fund"
"Viet Nam",10000,2013,"Central Emergency Response Fund"
"Pakistan",10000,2013,"Central Emergency Response Fund"
"Mongolia",10000,2013,"Central Emergency Response Fund"
"Serbia",7000,2013,"Central Emergency Response Fund"
"Uruguay",5000,2013,"Central Emergency Response Fund"
"Armenia",5000,2013,"Central Emergency Response Fund"
"Montenegro",3000,2013,"Central Emergency Response Fund"
"Guyana",2184,2013,"Central Emergency Response Fund"
"Mozambique",2000,2013,"Central Emergency Response Fund"
"Bhutan",1500,2013,"Central Emergency Response Fund"
"Afghanistan",1000,2013,"Central Emergency Response Fund"
"Regional Government of Flanders",401430,2013,"Central Emergency Response Fund"
"Western Union Foundation",50000,2013,"Central Emergency Response Fund"
"Lenovo Next Generation Hope Fund",25000,2013,"Central Emergency Response Fund"
"Private Donations through UNF",15787,2013,"Central Emergency Response Fund"
"Baha'I International Community (National Spiritual Assembly)",10000,2013,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",882,2013,"Central Emergency Response Fund"
"United Kingdom",113185500,2014,"Central Emergency Response Fund"
"Sweden",72656099,2014,"Central Emergency Response Fund"
"Norway",66113109,2014,"Central Emergency Response Fund"
"Netherlands",54956000,2014,"Central Emergency Response Fund"
"Germany",29819244,2014,"Central Emergency Response Fund"
"Canada",26719985,2014,"Central Emergency Response Fund"
"Denmark",25993457,2014,"Central Emergency Response Fund"
"Belgium",17588690,2014,"Central Emergency Response Fund"
"Australia",14580884,2014,"Central Emergency Response Fund"
"Ireland",12183300,2014,"Central Emergency Response Fund"
"Finland",9705500,2014,"Central Emergency Response Fund"
"Switzerland",7860763,2014,"Central Emergency Response Fund"
"Luxembourg",5082592,2014,"Central Emergency Response Fund"
"Spain",2490000,2014,"Central Emergency Response Fund"
"Republic of Korea",4e+06,2014,"Central Emergency Response Fund"
"United States of America",4e+06,2014,"Central Emergency Response Fund"
"Italy",1161383,2014,"Central Emergency Response Fund"
"New Zealand",2563200,2014,"Central Emergency Response Fund"
"Brazil",7e+05,2014,"Central Emergency Response Fund"
"Japan",1590814,2014,"Central Emergency Response Fund"
"Russian Federation",1500000,2014,"Central Emergency Response Fund"
"Mexico",5e+05,2014,"Central Emergency Response Fund"
"Kuwait",5e+05,2014,"Central Emergency Response Fund"
"China",5e+05,2014,"Central Emergency Response Fund"
"India",5e+05,2014,"Central Emergency Response Fund"
"Turkey",449630,2014,"Central Emergency Response Fund"
"Liechtenstein",278118,2014,"Central Emergency Response Fund"
"South Africa",243641,2014,"Central Emergency Response Fund"
"Poland",212850,2014,"Central Emergency Response Fund"
"Indonesia",2e+05,2014,"Central Emergency Response Fund"
"Argentina",45000,2014,"Central Emergency Response Fund"
"Estonia",135580,2014,"Central Emergency Response Fund"
"Czech Republic",116213,2014,"Central Emergency Response Fund"
"Iceland",1e+05,2014,"Central Emergency Response Fund"
"United Arab Emirates",1e+05,2014,"Central Emergency Response Fund"
"Mali",1e+05,2014,"Central Emergency Response Fund"
"Monaco",67940,2014,"Central Emergency Response Fund"
"Portugal",67655,2014,"Central Emergency Response Fund"
"Trinidad and Tobago",20000,2014,"Central Emergency Response Fund"
"Romania",53000,2014,"Central Emergency Response Fund"
"Singapore",50000,2014,"Central Emergency Response Fund"
"Hungary",48047,2014,"Central Emergency Response Fund"
"Kazakhstan",10000,2014,"Central Emergency Response Fund"
"Chile",30000,2014,"Central Emergency Response Fund"
"Andorra",20538,2014,"Central Emergency Response Fund"
"Thailand",20000,2014,"Central Emergency Response Fund"
"Myanmar",10000,2014,"Central Emergency Response Fund"
"Pakistan",10000,2014,"Central Emergency Response Fund"
"San Marino",9970,2014,"Central Emergency Response Fund"
"Armenia",5000,2014,"Central Emergency Response Fund"
"Sovereign Military Order of Malta*",5000,2014,"Central Emergency Response Fund"
"Peru",4674,2014,"Central Emergency Response Fund"
"Guyana",2179,2014,"Central Emergency Response Fund"
"Regional Government of Flanders",410100,2014,"Central Emergency Response Fund"
"State of South Australia",308144,2014,"Central Emergency Response Fund"
"Private Donations through UNF",119661,2014,"Central Emergency Response Fund"
"UN Spouses Bazaar",59967,2014,"Central Emergency Response Fund"
"Cigna Foundation",50000,2014,"Central Emergency Response Fund"
"Chih-Kun Chan",10000,2014,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",300,2014,"Central Emergency Response Fund"
"United Kingdom",83200500,2015,"Central Emergency Response Fund"
"Netherlands",59169000,2015,"Central Emergency Response Fund"
"Norway",47614274,2015,"Central Emergency Response Fund"
"Sweden",49466092,2015,"Central Emergency Response Fund"
"Canada",24418604,2015,"Central Emergency Response Fund"
"Germany",21459980,2015,"Central Emergency Response Fund"
"Belgium",10969000,2015,"Central Emergency Response Fund"
"Denmark",14556040,2015,"Central Emergency Response Fund"
"Ireland",12212000,2015,"Central Emergency Response Fund"
"Finland",7770000,2015,"Central Emergency Response Fund"
"Switzerland",7309660,2015,"Central Emergency Response Fund"
"Luxembourg",4277200,2015,"Central Emergency Response Fund"
"Australia",9223031,2015,"Central Emergency Response Fund"
"Republic of Korea",4500000,2015,"Central Emergency Response Fund"
"United States of America",3e+06,2015,"Central Emergency Response Fund"
"Spain",,2015,"Central Emergency Response Fund"
"New Zealand",2337600,2015,"Central Emergency Response Fund"
"Russian Federation",1500000,2015,"Central Emergency Response Fund"
"United Arab Emirates",1e+06,2015,"Central Emergency Response Fund"
"Kuwait",1e+06,2015,"Central Emergency Response Fund"
"Japan",1402809,2015,"Central Emergency Response Fund"
"Italy",1104500,2015,"Central Emergency Response Fund"
"India",5e+05,2015,"Central Emergency Response Fund"
"Turkey",,2015,"Central Emergency Response Fund"
"Liechtenstein",271768,2015,"Central Emergency Response Fund"
"Mexico",250000,2015,"Central Emergency Response Fund"
"China",5e+05,2015,"Central Emergency Response Fund"
"Indonesia",,2015,"Central Emergency Response Fund"
"Saudi Arabia",,2015,"Central Emergency Response Fund"
"Estonia",125100,2015,"Central Emergency Response Fund"
"Colombia",235000,2015,"Central Emergency Response Fund"
"South Africa",172562,2015,"Central Emergency Response Fund"
"Portugal",59034,2015,"Central Emergency Response Fund"
"Argentina",,2015,"Central Emergency Response Fund"
"Monaco",52303,2015,"Central Emergency Response Fund"
"Iceland",1e+05,2015,"Central Emergency Response Fund"
"Malaysia",50000,2015,"Central Emergency Response Fund"
"Singapore",50000,2015,"Central Emergency Response Fund"
"Lithuania",21655,2015,"Central Emergency Response Fund"
"Thailand",20000,2015,"Central Emergency Response Fund"
"Chile",30000,2015,"Central Emergency Response Fund"
"Philippines",,2015,"Central Emergency Response Fund"
"Pakistan",,2015,"Central Emergency Response Fund"
"Myanmar",10000,2015,"Central Emergency Response Fund"
"Viet Nam",10000,2015,"Central Emergency Response Fund"
"Cöte d'Ivoire",,2015,"Central Emergency Response Fund"
"Kazakhstan",,2015,"Central Emergency Response Fund"
"Andorra",11477,2015,"Central Emergency Response Fund"
"Armenia",5000,2015,"Central Emergency Response Fund"
"Mongolia",,2015,"Central Emergency Response Fund"
"Sovereign Military Order of Malta*",5000,2015,"Central Emergency Response Fund"
"Serbia",5000,2015,"Central Emergency Response Fund"
"Peru",4167,2015,"Central Emergency Response Fund"
"Guyana",2179,2015,"Central Emergency Response Fund"
"Djibouti",,2015,"Central Emergency Response Fund"
"Regional Government of Flanders",345690,2015,"Central Emergency Response Fund"
"Coloplast Corp",15000,2015,"Central Emergency Response Fund"
"KK Wind Solutions - Denmark",1506,2015,"Central Emergency Response Fund"
"Private Donations through UNF",1000,2015,"Central Emergency Response Fund"
"Check Domroe",40,2015,"Central Emergency Response Fund"
