cerf_names,match_name,match_id
Andorra,,
Cape Verde,Cabo Verde,230
China,China (People's Republic of),730
"Congo, The Democratic Republic of the",Democratic Republic of the Congo,235
Cote d'Ivoire,CÃ´te d'Ivoire,247
Cöte d'Ivoire,CÃ´te d'Ivoire,247
Holy See*,,
"Iran, Islamic Republic of",Iran,540
"Korea, Democratic People's Republic of",Democratic People's Republic of Korea,740
Libyan Arab Jamahiriya,Libya,133
Monaco,,
"Palestinian territory, occupied",Palestinian Adm. Areas,
Republic of Congo,Congo,234
Republic of Korea,Korea,742
Republic of Moldova,Moldova,93
Republic of the Sudan,Sudan,278
Russian Federation,Russia,87
San Marino,,
Slovakia,Slovak Republic,69
Sovereign Military Order of Malta*,Malta,45
"Tanzania, United Republic of",Tanzania,282
The former Yugoslav Republic of Macedonia,Former Yugoslav Republic of Macedonia,66
United States of America,United States,302
Zimbabwe,Zimbabwe,265
Zambia,Zambia,288
Yemen,Yemen,580
Viet Nam,Viet Nam,769
Venezuela,Venezuela,463
Vanuatu,Vanuatu,854
Uzbekistan,Uzbekistan,617
Uruguay,Uruguay,460
United Kingdom,United Kingdom,12
United Arab Emirates,United Arab Emirates,576
Ukraine,Ukraine,85
Uganda,Uganda,285
Tuvalu,Tuvalu,872
Turkey,Turkey,55
Tunisia,Tunisia,139
Trinidad and Tobago,Trinidad and Tobago,375
Togo,Togo,283
Timor-Leste,Timor-Leste,765
Thailand,Thailand,764
Tajikistan,Tajikistan,615
Syrian Arab Republic,Syrian Arab Republic,573
Switzerland,Switzerland,11
Sweden,Sweden,10
Swaziland,Swaziland,280
Sri Lanka,Sri Lanka,640
Spain,Spain,50
South Sudan,South Sudan,279
South Africa,South Africa,218
Somalia,Somalia,273
Solomon Islands,Solomon Islands,866
Slovenia,Slovenia,61
Singapore,Singapore,761
Sierra Leone,Sierra Leone,272
Serbia,Serbia,63
Senegal,Senegal,269
Saudi Arabia,Saudi Arabia,566
Samoa,Samoa,880
Saint Lucia,Saint Lucia,383
Rwanda,Rwanda,266
Romania,Romania,77
Qatar,Qatar,561
Portugal,Portugal,9
Poland,Poland,76
Philippines,Philippines,755
Peru,Peru,454
Paraguay,Paraguay,451
Panama,Panama,366
Pakistan,Pakistan,665
Oman,Oman,558
Norway,Norway,8
Nigeria,Nigeria,261
Niger,Niger,260
Nicaragua,Nicaragua,364
New Zealand,New Zealand,820
Netherlands,Netherlands,7
Nepal,Nepal,660
Namibia,Namibia,275
Myanmar,Myanmar,635
Mozambique,Mozambique,259
Morocco,Morocco,136
Montenegro,Montenegro,65
Mongolia,Mongolia,753
Mexico,Mexico,358
Mauritania,Mauritania,256
Marshall Islands,Marshall Islands,859
Malta,Malta,45
Mali,Mali,255
Maldives,Maldives,655
Malaysia,Malaysia,751
Malawi,Malawi,253
Madagascar,Madagascar,252
Luxembourg,Luxembourg,22
Lithuania,Lithuania,84
Liechtenstein,Liechtenstein,70
Liberia,Liberia,251
Lesotho,Lesotho,249
Lebanon,Lebanon,555
Latvia,Latvia,83
Lao People's Democratic Republic,Lao People's Democratic Republic,745
Kyrgyzstan,Kyrgyzstan,614
Kuwait,Kuwait,552
Kenya,Kenya,248
Kazakhstan,Kazakhstan,613
Jordan,Jordan,549
Japan,Japan,701
Jamaica,Jamaica,354
Italy,Italy,6
Israel,Israel,546
Ireland,Ireland,21
Iraq,Iraq,543
Indonesia,Indonesia,738
India,India,645
Iceland,Iceland,20
Hungary,Hungary,75
Honduras,Honduras,351
Haiti,Haiti,349
Guyana,Guyana,446
Guinea-Bissau,Guinea-Bissau,244
Guinea,Guinea,243
Guatemala,Guatemala,347
Grenada,Grenada,381
Greece,Greece,40
Ghana,Ghana,241
Germany,Germany,5
Georgia,Georgia,612
Gambia,Gambia,240
France,France,4
Finland,Finland,18
Ethiopia,Ethiopia,238
Estonia,Estonia,82
Eritrea,Eritrea,271
El Salvador,El Salvador,342
Egypt,Egypt,142
Ecuador,Ecuador,440
Dominican Republic,Dominican Republic,340
Djibouti,Djibouti,274
Denmark,Denmark,3
Czech Republic,Czech Republic,68
Cyprus,Cyprus,30
Cuba,Cuba,338
Croatia,Croatia,62
Costa Rica,Costa Rica,336
Congo,Congo,234
Comoros,Comoros,233
Colombia,Colombia,437
Chile,Chile,434
Chad,Chad,232
Central African Republic,Central African Republic,231
Canada,Canada,301
Cameroon,Cameroon,229
Cambodia,Cambodia,728
Burundi,Burundi,228
Burkina Faso,Burkina Faso,287
Bulgaria,Bulgaria,72
Brunei Darussalam,Brunei Darussalam,725
Brazil,Brazil,431
Botswana,Botswana,227
Bosnia and Herzegovina,Bosnia and Herzegovina,64
Bolivia,Bolivia,428
Bhutan,Bhutan,630
Benin,Benin,236
Belgium,Belgium,2
Bangladesh,Bangladesh,666
Bahamas,Bahamas,328
Azerbaijan,Azerbaijan,611
Austria,Austria,1
Australia,Australia,801
Armenia,Armenia,610
Argentina,Argentina,425
Antigua and Barbuda,Antigua and Barbuda,377
Angola,Angola,225
Algeria,Algeria,130
Albania,Albania,71
Afghanistan,Afghanistan,625
